Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Arslan Senki (TV),TV,25,Finished Airing,2015-4-5,2015-9-27,Spring,Sundays at 17:00 (JST),"Dentsu,Mainichi Broadcasting System,Kodansha,Magic Capsule,Ultra Super Pictures,Graphinica,NBCUniversal Entertainment Japan",Funimation,"SANZIGEN,LIDENFILMS",Manga,"Action,Adventure,Historical,Drama,Fantasy,Shounen",24 min. per ep.,R,7.82,92278,210332,1183
Break Blade 2: Ketsubetsu no Michi,Movie,1,Finished Airing,2010-6-26,-,-,-,"KlockWorx,Flex Comix,Fields",Sentai Filmworks,"Production I.G,Xebec",Manga,"Action,Fantasy,Mecha,Military,Shounen",51 min.,R,7.82,31941,50069,23
Captain Tsubasa (2018),TV,-,Currently Airing,2018-4-3,-,Spring,Tuesdays at 01:35 (JST),-,Viz Media,David Production,Manga,"Action,Sports,Shounen",22 min.,G,7.82,3214,23997,56
Da Yu Hai Tang,Movie,1,Finished Airing,2016-7-8,-,-,-,"Enlight Pictures,Studio Mir",-,B&T,Original,"Adventure,Drama,Romance,Supernatural",1 hr. 40 min.,PG-13,7.82,2244,13635,54
Detective Conan Movie 10: Promo Special,Special,1,Finished Airing,-,-,-,-,-,-,TMS Entertainment,-,"Adventure,Police,Comedy,Mystery,Shounen",23 min.,PG-13,7.82,2090,5388,6
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Special,1,Finished Airing,1993-2-24,-,-,-,-,Funimation,Toei Animation,Manga,"Adventure,Drama,Fantasy,Shounen",48 min.,PG-13,7.82,35898,55329,170
Hellsing I: Digest for Freaks,OVA,1,Finished Airing,2006-1-22,-,-,-,-,-,Satelight,Manga,"Action,Super Power,Military,Supernatural,Horror,Vampire,Seinen",28 min.,R,7.82,8917,25372,68
Macross F: Close Encounter - Deculture Edition,Special,1,Finished Airing,2007-12-23,-,-,-,-,-,Satelight,Original,"Action,Mecha,Military,Music,Sci-Fi,Space",27 min.,PG-13,7.82,4705,9831,6
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1,Finished Airing,2012-7-28,-,-,-,"TV Tokyo,Aniplex,Dentsu,Toho,Shueisha",Viz Media,Studio Pierrot,Manga,"Action,Super Power,Adventure,Martial Arts,Shounen",1 hr. 49 min.,PG-13,7.82,75867,124107,223
Nisekoi,TV,20,Finished Airing,2014-1-11,2014-5-24,Winter,Saturdays at 23:30 (JST),"Aniplex,Mainichi Broadcasting System,Shueisha",Aniplex of America,Shaft,Manga,"Harem,Comedy,Romance,School,Shounen",24 min. per ep.,PG-13,7.82,283061,501394,7660
Piano no Mori,Movie,1,Finished Airing,2007-7-21,-,-,-,"Sony Music Entertainment,Cyclone Graphics inc",-,Madhouse,Manga,"Adventure,Music,Comedy,Drama,School,Seinen",1 hr. 40 min.,G,7.82,14165,34737,94
School Rumble Ichi Gakki Hoshuu,OVA,2,Finished Airing,2005-12-22,-,-,-,Studio Jack,Funimation,Studio Comet,Manga,"Comedy,Romance,School,Shounen",25 min. per ep.,PG-13,7.82,26878,44935,107
Seikai no Senki,TV,13,Finished Airing,2000-4-14,2000-7-14,Spring,-,"Bandai Visual,WOWOW,BeSTACK","Funimation,Bandai Entertainment",Sunrise,Light novel,"Action,Military,Romance,Sci-Fi,Space",25 min. per ep.,PG-13,7.82,10427,21782,227
Seitokai Yakuindomo*,TV,13,Finished Airing,2014-1-4,2014-3-30,Winter,-,Starchild Records,-,GoHands,4-koma manga,"Slice of Life,Comedy,School,Shounen",23 min. per ep.,R,7.82,68504,134600,398
Uchuu Kaizoku Captain Herlock,TV,42,Finished Airing,1978-3-14,1979-2-13,Spring,Tuesdays at Unknown,Studio Nue,Discotek Media,Toei Animation,Manga,"Action,Sci-Fi,Adventure,Space,Drama,Seinen",25 min. per ep.,PG-13,7.82,5312,19701,233
Bungou Stray Dogs,TV,12,Finished Airing,2016-4-7,2016-6-23,Spring,Thursdays at 01:05 (JST),"Lantis,Movic,KlockWorx,Bandai Namco Live Creative,Glovision,Lawson HMV Entertainment,Sony PCL","Funimation,Crunchyroll",Bones,Manga,"Action,Mystery,Comedy,Supernatural,Seinen",23 min. per ep.,R,7.81,159169,337790,4508
Death Note: Rewrite,Special,2,Finished Airing,2007-8-31,2008-8-22,-,-,Shueisha,Viz Media,Madhouse,Manga,"Mystery,Police,Psychological,Supernatural,Thriller",1 hr. 52 min. per ep.,R,7.81,51603,108947,501
Detective Conan Movie 19: The Hellfire Sunflowers,Movie,1,Finished Airing,2015-4-18,-,-,-,-,-,TMS Entertainment,Manga,"Action,Mystery,Police,Shounen",1 hr. 52 min.,PG-13,7.81,8159,14491,28
Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,13,Currently Airing,2018-4-8,-,Spring,Sundays at 01:00 (JST),-,Sentai Filmworks,Studio Deen,Manga,"Comedy,Demons,Fantasy,Seinen,Supernatural",23 min. per ep.,PG-13,7.81,593,7696,8
Kami nomi zo Shiru Sekai: Tenri-hen,OVA,2,Finished Airing,2012-10-18,2012-12-18,-,-,"Geneon Universal Entertainment,Shogakukan",Sentai Filmworks,Manglobe,Manga,"Comedy,Harem,Romance,Supernatural,Shounen",23 min. per ep.,PG-13,7.81,53117,85414,87
Kimi to Boku.,TV,13,Finished Airing,2011-10-4,2011-12-27,Fall,-,"TV Tokyo,Aniplex,Square Enix,Nihon Ad Systems,Movic,Kimi To Boku Production Partners",-,J.C.Staff,Manga,"Comedy,Drama,Romance,School,Shounen,Slice of Life",24 min. per ep.,PG-13,7.81,39142,107507,1107
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Movie,1,Finished Airing,2016-12-3,-,-,-,-,-,Production I.G,Manga,"Comedy,Sports,Shounen",1 hr. 28 min.,PG-13,7.81,3166,11653,21
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1,Finished Airing,2015-3-14,-,-,-,Shochiku,Sentai Filmworks,Kyoto Animation,Light novel,"Action,Supernatural,Fantasy",1 hr. 22 min.,PG-13,7.81,29337,64191,142
Memories,Movie,3,Finished Airing,1995-12-23,-,-,-,"Bandai Visual,Shochiku,Victor Entertainment,Kodansha",Sony Pictures Entertainment,"Madhouse,Studio 4°C",Manga,"Sci-Fi,Horror,Psychological,Drama",37 min. per ep.,PG-13,7.81,21259,50225,272
Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,1,Finished Airing,2014-6-7,-,-,-,"Aniplex,Atlus",Aniplex of America,A-1 Pictures,Game,"Action,Supernatural,Fantasy",1 hr. 38 min.,R,7.81,19933,40323,126
Persona 5 the Animation,TV,24,Currently Airing,2018-4-8,-,Spring,Sundays at 00:30 (JST),CLOVERWORKS,Aniplex of America,A-1 Pictures,Game,"Action,Supernatural,Fantasy",24 min. per ep.,R,7.8,6768,75083,249
Princess Sara,TV,46,Finished Airing,1985-1-6,1985-12-29,Winter,Sundays at 19:30 (JST),-,-,Nippon Animation,Novel,"Slice of Life,Historical,Drama,Shoujo",25 min. per ep.,G,7.81,5319,10121,55
Seikai no Senki III,OVA,2,Finished Airing,2005-8-6,-,-,-,"Bandai Visual,BeSTACK",-,Sunrise,Light novel,"Action,Military,Romance,Sci-Fi,Space",37 min. per ep.,PG-13,7.81,6709,12591,46
Sidonia no Kishi,TV,12,Finished Airing,2014-4-11,2014-6-27,Spring,-,"Starchild Records,Mainichi Broadcasting System,Kodansha,KlockWorx",Sentai Filmworks,Polygon Pictures,Manga,"Action,Mecha,Sci-Fi,Seinen,Space",24 min. per ep.,R,7.81,75176,152622,1248
Tetsuwan Birdy Decode:02,TV,12,Finished Airing,2009-1-10,2009-3-28,Winter,Saturdays at 02:10 (JST),"Aniplex,Shogakukan",Funimation,A-1 Pictures,Manga,"Action,Sci-Fi,Comedy",23 min. per ep.,R,7.81,17640,34901,203
Wakakusa Monogatari: Nan to Jo-sensei,TV,40,Finished Airing,1993-1-17,1993-12-19,Winter,Sundays at 19:30 (JST),-,-,Nippon Animation,-,"Drama,Historical,School,Slice of Life",25 min. per ep.,G,7.81,1559,3450,15
Akame ga Kill!,TV,24,Finished Airing,2014-7-7,2014-12-15,Summer,Mondays at 00:00 (JST),"Square Enix,TOHO animation",Sentai Filmworks,White Fox,Manga,"Action,Adventure,Drama,Fantasy,Shounen",23 min. per ep.,R,7.8,467037,762315,14292
Bungou Stray Dogs: Hitori Ayumu,OVA,1,Finished Airing,2017-8-4,-,-,-,-,-,Bones,Manga,"Action,Mystery,Supernatural,Seinen",23 min.,PG-13,7.8,10366,33454,61
Chi's Sweet Home,TV,104,Finished Airing,2008-3-31,2008-9-25,Spring,Not scheduled once per week,"TV Tokyo,Hakuhodo DY Media Partners",Discotek Media,Madhouse,Manga,"Comedy,Slice of Life",3 min. per ep.,G,7.8,16486,43141,381
Digimon Adventure: Bokura no War Game!,Movie,1,Finished Airing,2000-3-4,-,-,-,-,Saban Entertainment,Toei Animation,Original,"Sci-Fi,Adventure,Comedy,Kids",40 min.,PG,7.8,28931,45740,165
Giovanni no Shima,Movie,1,Finished Airing,2014-2-22,-,-,-,Warner Bros.,-,Production I.G,Original,"Drama,Historical",1 hr. 42 min.,PG-13,7.8,5189,15328,41
Go! Princess Precure,TV,50,Finished Airing,2015-2-1,2016-1-31,Winter,Sundays at 08:30 (JST),-,-,Toei Animation,Original,"Action,Comedy,Fantasy,Magic,School,Shoujo,Slice of Life",24 min. per ep.,G,7.8,2304,7323,151
Hachimitsu to Clover Specials,Special,2,Finished Airing,2005-12-23,2006-2-24,-,-,-,Viz Media,J.C.Staff,Manga,"Comedy,Drama,Josei,Romance,Slice of Life",22 min. per ep.,PG-13,7.8,12694,23269,54
Hakuouki Sekkaroku,OVA,6,Finished Airing,2011-8-5,2012-6-27,-,-,-,Sentai Filmworks,Studio Deen,Visual novel,"Action,Historical,Demons,Drama,Fantasy,Josei",23 min. per ep.,PG-13,7.8,7626,18237,78
Kill la Kill Specials,Special,2,Finished Airing,2014-9-3,-,-,-,"Aniplex,Kadokawa Shoten",Aniplex of America,Trigger,Original,"Action,Comedy,Super Power,School",18 min. per ep.,R,7.8,65780,109987,186
Kuroko no Basket NG-shuu,Special,9,Finished Airing,2012-7-27,2013-3-22,-,-,-,-,Production I.G,-,"Comedy,School,Shounen,Sports",4 min. per ep.,PG-13,7.8,21376,39668,64
Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,Finished Airing,2014-6-20,-,-,-,-,-,Production I.G,Manga,"Comedy,School,Shounen,Sports",24 min.,PG-13,7.8,13497,26491,24
One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,Finished Airing,2012-12-15,-,-,-,-,-,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Fantasy,Shounen",1 hr. 42 min.,PG-13,7.8,15543,27698,23
Owari no Seraph: Nagoya Kessen-hen,TV,12,Finished Airing,2015-10-10,2015-12-26,Fall,Saturdays at 22:00 (JST),"NBCUniversal Entertainment Japan,Shueisha",Funimation,Wit Studio,Manga,"Action,Military,Supernatural,Drama,Vampire,Shounen",23 min. per ep.,R,7.8,176465,302074,1760
Pokemon XY&Z,TV,47,Finished Airing,2015-10-29,2016-10-27,Fall,Thursdays at 18:55 (JST),-,The Pokemon Company International,OLM,Game,"Action,Adventure,Comedy,Kids,Fantasy",23 min. per ep.,PG,7.8,15824,30675,355
Romeo x Juliet,TV,24,Finished Airing,2007-4-5,2007-9-26,Spring,-,"GDH,Kadokawa Shoten,CBC,SKY Perfect Well Think,Happinet Pictures,Sotsu Music Publishing",Funimation,Gonzo,Book,"Drama,Fantasy,Historical,Romance",24 min. per ep.,PG-13,7.8,47936,115047,1127
Rozen Maiden: Ouvertüre,Special,2,Finished Airing,2006-12-23,2006-12-24,-,-,Mellow Head,Sentai Filmworks,Nomad,Manga,"Action,Comedy,Drama,Magic,Seinen",24 min. per ep.,PG-13,7.8,28655,48583,230
Shigatsu wa Kimi no Uso: Moments,OVA,1,Finished Airing,2015-5-15,-,-,-,-,-,A-1 Pictures,Manga,"Music,Shounen",23 min.,PG-13,7.8,32401,57669,119
Soredemo Sekai wa Utsukushii,TV,12,Finished Airing,2014-4-6,2014-6-29,Spring,-,"VAP,Hakusensha,Nippon Television Network",Sentai Filmworks,Studio Pierrot,Manga,"Adventure,Romance,Fantasy,Shoujo",22 min. per ep.,PG-13,7.8,68791,144490,1273
Aikatsu Stars!,TV,100,Finished Airing,2016-4-7,2018-3-29,Spring,Thursdays at 18:25 (JST),TV Tokyo,-,Bandai Namco Pictures,Original,"Music,Slice of Life,School,Shoujo",24 min. per ep.,PG,7.79,1226,8722,148
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,Finished Airing,2016-1-5,-,-,-,-,-,Bones,Manga,"Drama,Fantasy,Romance,Shoujo",24 min.,PG-13,7.79,16706,33741,89
Chibi Maruko-chan,TV,142,Finished Airing,1990-1-7,1992-9-27,Winter,-,Fuji TV,-,Nippon Animation,Manga,"Comedy,Slice of Life,Shoujo",23 min. per ep.,G,7.79,2441,6133,62
Hetalia World Series Specials,Special,4,Finished Airing,2011-3-25,2012-9-24,-,-,Frontier Works,Funimation,Studio Deen,Web manga,"Comedy,Historical,Parody",5 min. per ep.,PG-13,7.79,8039,17082,59
Hidamari Sketch x 365 Specials,Special,3,Finished Airing,2009-3-25,2009-10-24,-,-,Lantis,Sentai Filmworks,Shaft,4-koma manga,"Slice of Life,Comedy,School,Seinen",24 min. per ep.,PG-13,7.79,6332,12115,9
Hourou Musuko,TV,11,Finished Airing,2011-1-14,2011-4-1,Winter,Fridays at 01:15 (JST),"Aniplex,AIC,Dentsu,Fuji TV,Magic Capsule,Enterbrain,Fuji Pacific Music Publishing",-,AIC Classic,Manga,"Slice of Life,Drama,Romance,School",23 min. per ep.,PG-13,7.79,24442,71133,710
Ichigo Mashimaro OVA,OVA,3,Finished Airing,2007-2-23,2007-4-25,-,-,-,Sentai Filmworks,Daume,4-koma manga,"Comedy,School,Slice of Life",25 min. per ep.,PG-13,7.79,9721,16733,20
JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,Finished Airing,2007-2-17,-,-,-,Bandai,-,APPP,Manga,"Action,Adventure,Horror,Shounen,Vampire",1 hr. 30 min.,R,7.79,4262,14883,241
Kino no Tabi: The Beautiful World - Byouki no Kuni - For You,Movie,1,Finished Airing,2007-4-21,-,-,-,-,-,Shaft,Light novel,"Adventure,Drama,Fantasy",28 min.,R,7.79,14857,31003,21
Kochira Katsushikaku Kameari Kouenmae Hashutsujo (TV),TV,373,Finished Airing,1996-6-16,2004-12-19,Summer,Sundays at 19:00 (JST),"Asatsu DK,Fuji TV",-,Studio Gallop,Manga,"Slice of Life,Comedy,Police",25 min. per ep.,PG-13,7.79,1949,6715,81
Love Live! Sunshine!! 2nd Season,TV,13,Finished Airing,2017-10-7,2017-12-30,Fall,Saturdays at 22:30 (JST),"Bandai Visual,Lantis,ASCII Media Works,Bushiroad",Funimation,Sunrise,Original,"Music,School,Slice of Life",23 min. per ep.,PG-13,7.79,16656,43417,748
Macross Plus,OVA,4,Finished Airing,1994-8-25,1995-6-25,-,-,Studio Nue,-,Triangle Staff,Original,"Drama,Mecha,Military,Romance,Sci-Fi,Space",39 min. per ep.,R,7.79,14665,27872,294
Macross Plus Movie Edition,Movie,1,Finished Airing,1995-10-7,-,-,-,Studio Nue,Manga Entertainment,Triangle Staff,Original,"Action,Adventure,Mecha,Military,Romance,Sci-Fi,Space",1 hr. 55 min.,PG-13,7.79,5301,9952,48
Maria-sama ga Miteru: Haru,TV,13,Finished Airing,2004-7-4,2004-9-26,Summer,-,-,Nozomi Entertainment,Studio Deen,Light novel,"Drama,Romance,School,Shoujo,Shoujo Ai",24 min. per ep.,PG-13,7.79,8776,17377,63
Mitsudomoe Zouryouchuu!,TV,8,Finished Airing,2011-1-9,2011-2-27,Winter,-,"Lantis,Cospa,Studio Mausu",-,Bridge,-,"Slice of Life,Comedy,School",24 min. per ep.,PG-13,7.79,18517,31214,73
Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,Finished Airing,2013-1-12,2013-3-16,Winter,Saturdays at 01:30 (JST),"Kadokawa Shoten,Nippon Columbia,flying DOG,Project No Name",Sentai Filmworks,Diomedea,Light novel,"Action,Comedy,Fantasy,Supernatural",23 min. per ep.,PG-13,7.79,167244,305534,3208
One Piece: Episode of Sabo - 3 Kyoudai no Kizuna Kiseki no Saikai to Uketsugareru Ishi,Special,1,Finished Airing,2015-8-22,-,-,-,Fuji TV,Funimation,Toei Animation,Manga,"Action,Adventure,Comedy,Super Power,Drama,Fantasy,Shounen",1 hr. 46 min.,PG-13,7.79,10240,17900,14
Seikai no Monshou,TV,13,Finished Airing,1999-1-3,1999-3-28,Winter,-,"Bandai Visual,WOWOW,BeSTACK","Funimation,Bandai Entertainment",Sunrise,Light novel,"Action,Military,Sci-Fi,Space,Romance",26 min. per ep.,PG-13,7.79,13025,31884,362
Taiyou no Kiba Dagram,TV,75,Finished Airing,1981-10-23,1983-3-25,Fall,-,-,-,Sunrise,-,"Mecha,Military,Drama,Sci-Fi,Shounen",23 min. per ep.,PG-13,7.79,542,2587,37
Toaru Majutsu no Index II,TV,24,Finished Airing,2010-10-8,2011-4-1,Fall,-,"Geneon Universal Entertainment,Square Enix,AT-X,ASCII Media Works,Delfi Sound",Funimation,J.C.Staff,Light novel,"Action,Sci-Fi,Super Power,Magic",23 min. per ep.,R,7.79,128878,234098,1430
Tsuritama,TV,12,Finished Airing,2012-4-13,2012-6-29,Spring,Fridays at 01:15 (JST),"Aniplex,Dentsu,Fuji TV,tsuritama partners,Sakura Create",Sentai Filmworks,A-1 Pictures,Original,"Comedy,Sci-Fi,Slice of Life,Sports",23 min. per ep.,PG-13,7.79,41879,108419,1979
Udon no Kuni no Kiniro Kemari,TV,12,Finished Airing,2016-10-9,2016-12-25,Fall,Sundays at 01:55 (JST),"VAP,Nippon Television Network,Nippon Television Music,Nishinippon Broadcasting,Dai Nippon Printing,Shinchosha",-,LIDENFILMS,Manga,"Slice of Life,Fantasy,Seinen",22 min. per ep.,PG-13,7.79,24671,61597,305
Working!!,TV,13,Finished Airing,2010-4-4,2010-6-27,Spring,-,"Aniplex,Rakuonsha","NIS America, Inc.",A-1 Pictures,4-koma manga,"Slice of Life,Comedy,Romance",24 min. per ep.,PG-13,7.79,125540,248633,1940
Yuru Camp△ Specials,Special,3,Currently Airing,2018-3-28,2018-7-25,-,-,-,-,C-Station,Manga,"Slice of Life,Comedy",5 min. per ep.,PG-13,7.79,1034,11867,16
AKB0048: Next Stage,TV,13,Finished Airing,2013-1-6,2013-3-31,Winter,-,Starchild Records,Sentai Filmworks,Satelight,Original,"Music,Sci-Fi",23 min. per ep.,PG-13,7.78,14005,26108,302
Bishoujo Senshi Sailor Moon R: The Movie,Movie,1,Finished Airing,1993-12-5,-,-,-,-,Viz Media,Toei Animation,Manga,"Drama,Magic,Romance,Shoujo",1 hr. 1 min.,PG-13,7.78,23136,39500,190
Break Blade 6: Doukoku no Toride,Movie,1,Finished Airing,2011-3-26,-,-,-,-,Sentai Filmworks,"Production I.G,Xebec",Manga,"Action,Mecha,Military,Shounen",52 min.,R,7.78,27205,43725,27
Change!! Getter Robo: Sekai Saigo no Hi,OVA,13,Finished Airing,1998-8-25,1999-5-25,-,-,"Bandai Visual,Marubeni,Dynamic Planning",Discotek Media,Brain's Base,-,"Action,Psychological,Adventure,Mecha,Sci-Fi,Horror,Shounen",25 min. per ep.,R,7.78,2994,7266,179
Crayon Shin-chan Movie 09: Arashi wo Yobu Mouretsu! Otona Teikoku no Gyakushuu,Movie,1,Finished Airing,2001-4-21,-,-,-,"TV Asahi,Asatsu DK",-,Shin-Ei Animation,Manga,"Sci-Fi,Comedy,Seinen",1 hr. 29 min.,G,7.78,1909,3639,19
Daa! Daa! Daa!,TV,78,Finished Airing,2000-3-28,2002-2-26,Spring,Tuesdays at 18:00 (JST),-,-,J.C.Staff,Manga,"Comedy,Sci-Fi,Shoujo",25 min. per ep.,G,7.78,6551,15115,213
Danganronpa 3: The End of Kibougamine Gakuen - Zetsubou-hen,TV,11,Finished Airing,2016-7-14,2016-9-22,Summer,Thursdays at 23:30 (JST),-,Funimation,Lerche,Game,"Action,Mystery,Horror,Psychological,School",23 min. per ep.,R,7.78,58727,119125,1906
Dragon Ball Super,TV,131,Finished Airing,2015-7-5,2018-3-25,Summer,Sundays at 09:00 (JST),"Yomiko Advertising,Fuji TV",Funimation,Toei Animation,Manga,"Action,Adventure,Comedy,Fantasy,Martial Arts,Shounen,Super Power",23 min. per ep.,PG-13,7.78,95807,242036,4188
Flip Flappers,TV,13,Finished Airing,2016-10-6,2016-12-29,Fall,Thursdays at 21:00 (JST),"Sotsu,Lantis,AT-X,GAGA,Happinet Pictures,BS Fuji,Tokyo MX,Hakuhodo DY Music & Pictures,Medicos Entertainment,Infinite,RAY",Sentai Filmworks,Studio 3Hz,Original,"Sci-Fi,Adventure,Comedy,Magic",23 min. per ep.,PG-13,7.78,38800,103603,1344
Hakkenden: Touhou Hakken Ibun 2nd Season,TV,13,Finished Airing,2013-7-7,2013-9-29,Summer,-,"Bandai Visual,Frontier Works,Lantis,Movic,DAX Production,Sony PCL",Sentai Filmworks,Studio Deen,Manga,"Action,Demons,Supernatural,Fantasy,Shoujo",24 min. per ep.,PG-13,7.78,19683,41051,171
Hello! Lady Lynn,TV,36,Finished Airing,1988-5-12,1989-1-26,Spring,-,-,-,Toei Animation,Manga,Drama,20 min. per ep.,G,7.78,996,2211,25
K: Return of Kings,TV,13,Finished Airing,2015-10-3,2015-12-26,Fall,Saturdays at 01:55 (JST),"Starchild Records,Mainichi Broadcasting System,Studio Tulip,Glovision",Viz Media,GoHands,Original,"Action,Super Power,Supernatural",24 min. per ep.,PG-13,7.78,75603,166838,928
Kindaichi Shounen no Jikenbo Returns 2nd Season,TV,22,Finished Airing,2015-10-3,2016-3-26,Fall,Saturdays at 17:30 (JST),Yomiuri Telecasting,-,Toei Animation,Manga,"Mystery,Shounen",24 min. per ep.,R,7.78,2163,5439,28
Ojamajo Doremi Na-i-sho,OVA,13,Finished Airing,2004-6-26,2004-12-11,-,-,-,-,Toei Animation,-,"Comedy,Fantasy,Magic,Shoujo",25 min. per ep.,G,7.78,2114,4899,47
Overlord Movie 2: Shikkoku no Eiyuu,Movie,1,Finished Airing,2017-3-11,-,-,-,-,-,Madhouse,Light novel,"Action,Game,Supernatural,Magic,Fantasy",1 hr. 33 min.,R,7.79,5175,24639,69
Sentou Mecha Xabungle,TV,50,Finished Airing,1982-2-6,1983-1-29,Winter,Saturdays at Unknown,Sotsu,-,Sunrise,Original,"Military,Sci-Fi,Mecha,Shounen",24 min. per ep.,PG-13,7.78,528,2233,22
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message,OVA,4,Finished Airing,2009-5-26,2009-9-25,-,-,"Production I.G,Nihon Ad Systems",-,M.S.C,-,"Comedy,Sports,School,Shounen",24 min. per ep.,PG-13,7.78,5052,10877,34
Another,TV,12,Finished Airing,2012-1-10,2012-3-27,Winter,-,"Lantis,Kadokawa Shoten,Toho,KlockWorx,Bandai Namco Live Creative,NTT Docomo",Sentai Filmworks,P.A. Works,Novel,"Mystery,Horror,Supernatural,Thriller,School",24 min. per ep.,R,7.77,463082,757905,11320
Baka to Test to Shoukanjuu,TV,13,Finished Airing,2010-1-7,2010-4-1,Winter,Thursdays at 02:20 (JST),"Lantis,Media Factory,Cospa,T.O Entertainment",Funimation,Silver Link.,Light novel,"Comedy,Romance,School,Super Power",24 min. per ep.,PG-13,7.77,217096,383768,4919
Bounen no Xamdou,ONA,26,Finished Airing,2008-7-15,2009-2-4,-,-,"Aniplex,Half H.P Studio",Sentai Filmworks,Bones,Original,"Action,Military,Sci-Fi",24 min. per ep.,PG-13,7.77,43166,94492,916
Detective Conan Movie 09: Promo Special,Special,1,Finished Airing,-,-,-,-,-,-,TMS Entertainment,-,"Adventure,Police,Comedy,Mystery,Shounen",23 min.,PG-13,7.77,2140,5488,3
Eikoku Koi Monogatari Emma,TV,12,Finished Airing,2005-4-3,2005-6-19,Spring,-,"Pony Canyon,TBS,Toshiba Entertainment,Fuji Creative",Nozomi Entertainment,Studio Pierrot,Manga,"Slice of Life,Historical,Drama,Romance,Seinen",25 min. per ep.,G,7.77,10184,30630,219
Fruits Basket,TV,26,Finished Airing,2001-7-5,2001-12-27,Summer,Thursdays at 18:00 (JST),"TV Tokyo,Nihon Ad Systems,King Records",Funimation,Studio Deen,Manga,"Slice of Life,Comedy,Drama,Romance,Fantasy,Shoujo",24 min. per ep.,PG-13,7.77,166937,290319,7538
Gabriel DropOut Specials,Special,2,Finished Airing,2017-3-24,2017-5-24,-,-,-,-,Doga Kobo,Manga,"Comedy,Demons,Supernatural,School,Shounen",15 min. per ep.,PG-13,7.77,12985,24824,39
Gakuen Alice,TV,26,Finished Airing,2004-10-30,2005-5-14,Fall,-,"Aniplex,Sogo Vision",Nozomi Entertainment,Group TAC,Manga,"Comedy,School,Shoujo,Super Power",25 min. per ep.,G,7.77,33032,62497,1396
Ichigo Mashimaro Encore,OVA,2,Finished Airing,2009-1-23,2009-3-25,-,-,-,Sentai Filmworks,Daume,4-koma manga,"Comedy,Slice of Life",27 min. per ep.,PG-13,7.77,7971,14295,14
Kanojo to Kanojo no Neko: Everything Flows,TV,4,Finished Airing,2016-3-4,2016-3-25,Winter,Fridays at 23:17 (JST),"Lantis,CoMix Wave Films",-,LIDENFILMS,Original,"Slice of Life,Psychological,Romance",7 min. per ep.,G,7.77,28738,59558,332
Koyomimonogatari,ONA,12,Finished Airing,2016-1-10,2016-3-27,-,-,"Aniplex,Kodansha",Aniplex of America,Shaft,Light novel,"Mystery,Comedy,Supernatural",14 min. per ep.,R,7.77,43529,91001,195
Minami-ke,TV,13,Finished Airing,2007-10-8,2007-12-31,Fall,Mondays at Unknown,"Starchild Records,Magic Capsule,Eye Move,Sunny Side Up",-,Daume,Manga,"Slice of Life,Comedy,School",24 min. per ep.,PG-13,7.77,54732,123635,1090
Mobile Suit Gundam: Char's Counterattack,Movie,1,Finished Airing,1988-3-12,-,-,-,"Sotsu,Nozomi Entertainment,Atelier Musa",Bandai Entertainment,"Sunrise,Studio Hibari",Novel,"Military,Sci-Fi,Space,Drama,Mecha",1 hr. 59 min.,PG-13,7.77,13795,23835,186
Nanatsu no Taizai OVA,OVA,2,Finished Airing,2015-6-17,2015-8-12,-,-,Aniplex,-,A-1 Pictures,Manga,"Action,Adventure,Supernatural,Magic,Fantasy,Shounen",24 min. per ep.,PG-13,7.77,33459,63937,94
Poyopoyo Kansatsu Nikki,TV,52,Finished Airing,2012-1-8,2012-12-30,Winter,Sundays at Unknown,"DAX Production,Dream Creation,Möbius Tone",-,Studio Deen,4-koma manga,"Slice of Life,Comedy,Seinen",3 min. per ep.,PG,7.77,6414,15803,127
Servant x Service,TV,13,Finished Airing,2013-7-5,2013-9-27,Summer,-,"Aniplex,Half H.P Studio,Asahi Broadcasting",Aniplex of America,A-1 Pictures,4-koma manga,"Comedy,Slice of Life",23 min. per ep.,PG-13,7.77,52012,111479,464
Super Lovers OVA,OVA,2,Finished Airing,2017-1-1,2017-9-1,-,-,Kadokawa Shoten,Funimation,Studio Deen,Manga,"Slice of Life,Comedy,Drama,Romance,Shounen Ai",23 min. per ep.,PG-13,7.77,2737,12781,44
