Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Higashi no Eden,TV,11,Finished Airing,2009-4-10,2009-6-19,Spring,Fridays at 00:45 (JST),"Fuji TV,Asmik Ace Entertainment,Sony Music Entertainment",Funimation,Production I.G,Original,"Action,Sci-Fi,Mystery,Comedy,Drama,Romance,Thriller",23 min. per ep.,R,7.96,172688,342974,3722
Kara no Kyoukai 2: Satsujin Kousatsu (Zen),Movie,1,Finished Airing,2007-12-29,-,-,-,Notes,Aniplex of America,ufotable,Light novel,"Action,Mystery,Supernatural,Romance,Thriller",1 hr. 1 min.,R,7.96,88383,140556,325
Little Witch Academia,Movie,1,Finished Airing,2013-3-2,-,-,-,"Half H.P Studio,Ultra Super Pictures",-,Trigger,Original,"Adventure,Comedy,Fantasy,Magic,School",26 min.,PG-13,7.96,109468,182510,1011
Lupin III (2015),TV,24,Finished Airing,2015-10-2,2016-3-18,Fall,Fridays at 01:29 (JST),-,Discotek Media,"TMS Entertainment,Telecom Animation Film",Original,"Action,Adventure,Mystery,Comedy,Seinen",25 min. per ep.,PG-13,7.96,7459,28066,164
Magic Kaito 1412,TV,24,Finished Airing,2014-10-4,2015-3-28,Fall,Saturdays at 17:30 (JST),"Aniplex,Yomiuri Telecasting,DAX Production",-,A-1 Pictures,Manga,"Adventure,Comedy,Romance,Shounen",24 min. per ep.,PG-13,7.96,25249,60261,595
Mahoujin Guruguru (2017),TV,24,Finished Airing,2017-7-11,2017-12-20,Summer,Wednesdays at 01:35 (JST),"TV Tokyo,Square Enix,Lantis,Kadokawa Shoten,AT-X,Magic Capsule,Sony Music Communications",-,Production I.G,Manga,"Adventure,Fantasy,Magic,Comedy,Shounen",24 min. per ep.,PG-13,7.97,5000,18823,148
Maria-sama ga Miteru 3rd,OVA,5,Finished Airing,2006-12-29,2007-7-25,-,-,-,Nozomi Entertainment,Studio Deen,Light novel,"Drama,School,Shoujo Ai,Slice of Life",50 min. per ep.,PG-13,7.96,7208,14333,67
Saint Seiya,TV,114,Finished Airing,1986-10-11,1989-4-1,Fall,-,-,"ADV Films,DiC Entertainment,Flatiron Film Company",Toei Animation,Manga,"Adventure,Fantasy,Sci-Fi,Shounen",24 min. per ep.,PG-13,7.96,50620,94685,2840
Seitokai Yakuindomo* OVA,OVA,9,Currently Airing,2014-5-16,2019-8-16,-,-,Starchild Records,-,GoHands,4-koma manga,"Slice of Life,Comedy,School,Shounen",25 min. per ep.,R,7.96,15773,39005,43
The Everlasting Guilty Crown,Music,1,Finished Airing,2012-3-7,-,-,-,"Sony Music Entertainment,Carp Studio",-,-,-,Music,5 min.,G,7.96,8811,17384,55
Working'!!,TV,13,Finished Airing,2011-10-1,2011-12-24,Fall,-,"Aniplex,Yomiuri Telecasting,Rakuonsha","NIS America, Inc.",A-1 Pictures,4-koma manga,"Slice of Life,Comedy,Romance",24 min. per ep.,PG-13,7.96,92123,154451,384
Yaoguai Mingdan 2nd Season,ONA,21,Finished Airing,2017-8-2,2017-12-29,-,-,Tencent Animation,-,Haoliners Animation League,Web manga,"Action,Comedy,Romance,Fantasy",16 min. per ep.,R,7.98,418,1724,14
Break Blade 4: Sanka no Chi,Movie,1,Finished Airing,2010-10-30,-,-,-,KlockWorx,Sentai Filmworks,"Production I.G,Xebec",Manga,"Action,Fantasy,Mecha,Military,Shounen",49 min.,R,7.95,29100,46592,28
Gochuumon wa Usagi desu ka??,TV,12,Finished Airing,2015-10-10,2015-12-26,Fall,Saturdays at 21:30 (JST),"Frontier Works,AT-X,Magic Capsule,Bushiroad,Showgate,Houbunsha,NBCUniversal Entertainment Japan,i0+,Hakuhodo DY Music & Pictures,RAY",Sentai Filmworks,"Kinema Citrus,White Fox",4-koma manga,"Slice of Life,Comedy",23 min. per ep.,PG-13,7.95,26964,60378,620
